rank,building_id,building,building_category,resource_id,resource,quality,scenario,mode,hourly_profit,hourly_revenue,hourly_output_or_sales_with_bonus,hourly_output_or_sales_base,sell_price,net_sell_price_after_fee,source_or_material_unit_cost,freight_unit_cost,worker_or_sales_wages_hourly,worker_or_sales_wages_hourly_before_robot_discount,robot_workforce_discount_percent,admin_hourly_cost,is_seasonal_product,production_season,retail_season,price_timestamp,building_cost_units,construction_units_q0_price,building_cost_q0_construction_units,hourly_roi,daily_roi_percent,admin_overhead_percent,speed_bonus_percent,speed_multiplier,exchange_fee_percent,contract_input_discount_percent
1,v,Forest nursery,production,150,Tree,0,exchange_with_freight,production_exchange_with_freight,3670.5456904739526,3818.1818177402884,11.363636362322287,9.999999998843611,350.0,336.0,4.476,0.388,76.96950000000001,79.35000000000001,3.0,15.393900000000004,True,,Xmas,2026-07-21T17:36:16.805524Z,5.0,2640.0,13200.0,0.2780716432177237,667.3719437225369,20.0,12.0,1.1363636363636365,4.0,0.0
2,k,Food processing plant,production,153,Chocolate icecream,0,exchange_with_freight,production_exchange_with_freight,1364.9376927465207,3506.5477842316523,36.52653941907971,32.14335468879014,100.0,96.0,46.15,0.388,368.11500000000007,379.50000000000006,3.0,73.623,True,,Summer,2026-07-21T16:33:00.057862Z,25.0,2640.0,66000.0,0.02068087413252304,49.634097918055296,20.0,12.0,1.1363636363636365,4.0,0.0
3,P,Farm,production,146,Pumpkin,0,exchange_with_freight,production_exchange_with_freight,1165.9775317456504,1904.835690435143,156.23652316561214,137.48814038573866,12.7,12.191999999999998,3.57,0.388,100.395,103.5,3.0,20.078999999999997,True,AutumnHarvest,,2026-07-21T13:49:03.465468Z,2.0,2640.0,5280.0,0.22082907798213075,529.9897871571138,20.0,12.0,1.1363636363636365,4.0,0.0
4,m,Catering,production,149,Pumpkin soup,0,exchange_with_freight,production_exchange_with_freight,630.7078566067743,2172.9609616904936,2.370158117027153,2.0857391429838943,955.0,916.8,328.0,0.776,635.835,655.5,3.0,127.167,False,,,2026-07-21T14:12:18.405845Z,30.0,2640.0,79200.0,0.007963483037964321,19.112359291114373,20.0,12.0,1.1363636363636365,4.0,0.0
5,L,Electronics factory,production,147,Jack o'lantern,0,exchange_with_freight,production_exchange_with_freight,552.1178291307988,14286.677543755244,323.52077771184884,284.69828438642696,46.0,44.16,40.7,0.388,368.11500000000007,379.50000000000006,3.0,73.623,True,,Halloween,2026-07-21T17:02:41.361526Z,24.0,2640.0,63360.0,0.008713980889059324,20.91355413374238,20.0,12.0,1.1363636363636365,4.0,0.0
6,j,Bakery,production,137,Dough,0,exchange_with_freight,production_exchange_with_freight,512.612133950983,1852.4032384255472,13.58863877953013,11.958002125986514,142.0,136.32,59.79,0.388,435.045,448.5,3.0,87.009,False,,,2026-07-21T16:56:25.905368Z,11.0,2640.0,29040.0,0.0176519329872928,42.36463916950272,20.0,12.0,1.1363636363636365,4.0,0.0
7,1,Car factory,production,50,Basic interior,0,exchange_with_freight,production_exchange_with_freight,488.7233069765682,11549.255871498248,36.236370078747015,31.88800566929737,332.0,318.71999999999997,290.05,0.776,435.045,448.5,3.0,87.009,False,,,2026-07-21T17:04:03.083942Z,27.0,2640.0,71280.0,0.006856387583846355,16.455330201231252,20.0,12.0,1.1363636363636365,4.0,0.0
8,x,Construction factory,production,110,Tools,0,exchange_with_freight,production_exchange_with_freight,434.55962399289706,5615.148784558409,29.540976349739108,25.996059187770413,198.0,190.07999999999998,155.95,0.388,468.50999999999993,482.99999999999994,3.0,93.70199999999998,False,,,2026-07-21T17:44:16.847269Z,21.0,2640.0,55440.0,0.007838377056148937,18.81210493475745,20.0,12.0,1.1363636363636365,4.0,0.0
9,8,Aerospace electronics,production,98,Quadcopter,0,exchange_with_freight,production_exchange_with_freight,420.14461467654905,11745.772191431264,14.144716030143623,12.447350106526388,865.0,830.4,740.3,0.776,702.765,724.5,3.0,140.553,False,,,2026-07-21T17:44:07.130242Z,41.0,2640.0,108240.0,0.003881602131158066,9.315845114779359,20.0,12.0,1.1363636363636365,4.0,0.0
10,M,Mine,production,15,Bauxite,0,exchange_with_freight,production_exchange_with_freight,407.4213405423306,1210.9108391039856,109.68395281739001,96.5218784793032,11.5,11.04,4.0085,0.388,267.71999999999997,276.0,3.0,53.544,False,,,2026-07-21T17:46:00.779036Z,7.0,2640.0,18480.0,0.022046609336706203,52.91186240809489,20.0,12.0,1.1363636363636365,4.0,0.0
