rank,building_id,building,building_category,resource_id,resource,quality,scenario,mode,hourly_profit,hourly_revenue,hourly_output_or_sales_with_bonus,hourly_output_or_sales_base,sell_price,net_sell_price_after_fee,source_or_material_unit_cost,freight_unit_cost,worker_or_sales_wages_hourly,worker_or_sales_wages_hourly_before_robot_discount,robot_workforce_discount_percent,admin_hourly_cost,is_seasonal_product,production_season,retail_season,price_timestamp,building_cost_units,construction_units_q0_price,building_cost_q0_construction_units,hourly_roi,daily_roi_percent,admin_overhead_percent,speed_bonus_percent,speed_multiplier,exchange_fee_percent,contract_input_discount_percent
1,m,Catering,production,149,Pumpkin soup,0,exchange_with_freight,production_exchange_with_freight,630.7078566067743,2172.9609616904936,2.370158117027153,2.0857391429838943,955.0,916.8,328.0,0.776,635.835,655.5,3.0,127.167,False,,,2026-07-21T14:12:18.405845Z,30.0,2640.0,79200.0,0.007963483037964321,19.112359291114373,20.0,12.0,1.1363636363636365,4.0,0.0
2,j,Bakery,production,137,Dough,0,exchange_with_freight,production_exchange_with_freight,512.612133950983,1852.4032384255472,13.58863877953013,11.958002125986514,142.0,136.32,59.79,0.388,435.045,448.5,3.0,87.009,False,,,2026-07-21T16:56:25.905368Z,11.0,2640.0,29040.0,0.0176519329872928,42.36463916950272,20.0,12.0,1.1363636363636365,4.0,0.0
3,1,Car factory,production,50,Basic interior,0,exchange_with_freight,production_exchange_with_freight,488.7233069765682,11549.255871498248,36.236370078747015,31.88800566929737,332.0,318.71999999999997,290.05,0.776,435.045,448.5,3.0,87.009,False,,,2026-07-21T17:04:03.083942Z,27.0,2640.0,71280.0,0.006856387583846355,16.455330201231252,20.0,12.0,1.1363636363636365,4.0,0.0
4,x,Construction factory,production,110,Tools,0,exchange_with_freight,production_exchange_with_freight,434.55962399289706,5615.148784558409,29.540976349739108,25.996059187770413,198.0,190.07999999999998,155.95,0.388,468.50999999999993,482.99999999999994,3.0,93.70199999999998,False,,,2026-07-21T17:44:16.847269Z,21.0,2640.0,55440.0,0.007838377056148937,18.81210493475745,20.0,12.0,1.1363636363636365,4.0,0.0
5,8,Aerospace electronics,production,98,Quadcopter,0,exchange_with_freight,production_exchange_with_freight,420.14461467654905,11745.772191431264,14.144716030143623,12.447350106526388,865.0,830.4,740.3,0.776,702.765,724.5,3.0,140.553,False,,,2026-07-21T17:44:07.130242Z,41.0,2640.0,108240.0,0.003881602131158066,9.315845114779359,20.0,12.0,1.1363636363636365,4.0,0.0
6,M,Mine,production,15,Bauxite,0,exchange_with_freight,production_exchange_with_freight,407.4213405423306,1210.9108391039856,109.68395281739001,96.5218784793032,11.5,11.04,4.0085,0.388,267.71999999999997,276.0,3.0,53.544,False,,,2026-07-21T17:46:00.779036Z,7.0,2640.0,18480.0,0.022046609336706203,52.91186240809489,20.0,12.0,1.1363636363636365,4.0,0.0
7,O,Oil rig,production,10,Crude oil,0,exchange_with_freight,production_exchange_with_freight,393.50921115777675,1336.2059629501225,47.1824139459789,41.52052427246143,29.5,28.32,6.825,0.388,501.97499999999997,517.5,3.0,100.395,False,,,2026-07-21T17:48:54.635467Z,20.0,2640.0,52800.0,0.007452825968897287,17.88678232535349,20.0,12.0,1.1363636363636365,4.0,0.0
8,Y,Factory,production,43,Steel,0,exchange_with_freight,production_exchange_with_freight,392.98001793058006,2772.3002998790475,218.77369790712183,192.52085415826718,13.2,12.671999999999999,8.285,0.388,401.58,414.0,3.0,80.31599999999999,False,,,2026-07-21T17:39:46.946253Z,14.0,2640.0,36960.0,0.010632576242710499,25.5181829825052,20.0,12.0,1.1363636363636365,4.0,0.0
9,k,Food processing plant,production,135,Sugar,0,exchange_with_freight,production_exchange_with_freight,380.3674317437569,924.225808843914,46.96269353881677,41.32717031415876,20.5,19.68,1.7865,0.388,368.11500000000007,379.50000000000006,3.0,73.623,False,,,2026-07-21T17:46:12.933653Z,25.0,2640.0,66000.0,0.005763142905208438,13.831542972500252,20.0,12.0,1.1363636363636365,4.0,0.0
10,e,Slaughterhouse,production,7,Steak,0,exchange_with_freight,production_exchange_with_freight,375.7552354486928,1372.148633273468,29.169826387616244,25.669447221102292,49.0,47.04,17.25,0.388,401.58,414.0,3.0,80.31599999999999,False,,,2026-07-21T17:47:45.420628Z,6.0,2640.0,15840.0,0.023721921429841718,56.93261143162012,20.0,12.0,1.1363636363636365,4.0,0.0
11,L,Electronics factory,production,25,Tablets,0,exchange_with_freight,production_exchange_with_freight,369.9860674331479,9705.623331355466,13.045192649671325,11.479769531710765,775.0,744.0,681.0,0.776,368.11500000000007,379.50000000000006,3.0,73.623,False,,,2026-07-21T17:26:58.548749Z,24.0,2640.0,63360.0,0.0058394265693362995,14.01462376640712,20.0,12.0,1.1363636363636365,4.0,0.0
12,R,Refinery,production,75,Carbon fibers,0,exchange_with_freight,production_exchange_with_freight,332.06172036615504,1764.7610465755001,278.52920558325445,245.10570091326392,6.6,6.335999999999999,3.0865,0.0388,468.50999999999993,482.99999999999994,3.0,93.70199999999998,False,,,2026-07-21T17:30:59.217463Z,20.0,2640.0,52800.0,0.006289047734207482,15.093714562097956,20.0,12.0,1.1363636363636365,4.0,0.0
13,g,General contractor,production,111,Construction units,0,exchange_with_freight,production_exchange_with_freight,310.99061688311707,2838.8571428571436,1.1201298701298703,0.9857142857142858,2640.0,2534.4,1898.25,0.0,334.65,345.0,3.0,66.93,False,,,2026-07-21T17:49:59.886619Z,14.0,2640.0,36960.0,0.008414248292292129,20.19419590150111,20.0,12.0,1.1363636363636365,4.0,0.0
14,E,Power plant,production,1,Power,0,exchange_with_freight,production_exchange_with_freight,282.5868099666467,764.4828099666466,2916.9826387616245,2566.944722110229,0.273,0.26208000000000004,0.0,0.0,401.58,414.0,3.0,80.31599999999999,False,,,2026-07-21T17:49:58.212674Z,15.0,2640.0,39600.0,0.0071360305547133,17.12647333131192,20.0,12.0,1.1363636363636365,4.0,0.0
15,D,Propulsion factory,production,86,Rocket engine,0,exchange_with_freight,production_exchange_with_freight,266.9395106946254,3419.0423692347827,0.3179912917815088,0.27983233676772773,11200.0,10752.0,7639.0,0.388,602.37,621.0,3.0,120.47399999999999,False,,,2026-07-21T15:02:43.254492Z,30.0,2640.0,79200.0,0.0033704483673563817,8.089076081655316,20.0,12.0,1.1363636363636365,4.0,0.0
16,o,Concrete plant,production,102,Bricks,0,exchange_with_freight,production_exchange_with_freight,265.4158031533831,1082.0204591343384,417.4461647894824,367.3526250147445,2.7,2.592,0.51,0.388,368.11500000000007,379.50000000000006,3.0,73.623,False,,,2026-07-21T17:49:59.040885Z,17.0,2640.0,44880.0,0.005913899357250068,14.193358457400162,20.0,12.0,1.1363636363636365,4.0,0.0
17,F,Ranch,production,117,Milk,0,exchange_with_freight,production_exchange_with_freight,226.80860807912885,1275.759173420385,137.00162944806542,120.56143391429757,9.7,9.312,6.096,0.388,133.85999999999999,138.0,3.0,26.772,False,,,2026-07-21T17:48:51.309465Z,3.0,2640.0,7920.0,0.02863745051504152,68.72988123609966,20.0,12.0,1.1363636363636365,4.0,0.0
18,S,Shipping depot,production,13,Transport,0,exchange_with_freight,production_exchange_with_freight,223.7751916116495,1343.4468408721557,3606.762351997841,3173.9508697581,0.388,0.37248,0.21023000000000003,0.0,301.185,310.5,3.0,60.236999999999995,False,,,2026-07-21T17:49:58.402372Z,15.0,2640.0,39600.0,0.005650888677061856,13.562132824948453,20.0,12.0,1.1363636363636365,4.0,0.0
19,G,Grocery store,retail,119,Coffee powder,0,exchange_with_freight,retail_average_price_exchange_with_freight,203.98011177598815,2142.6977466232593,47.922098239115435,42.171446450421584,44.712102043860966,44.712102043860966,37.0,0.0,138.0,138.0,0.0,27.6,False,,,2026-07-21T16:37:43.454996Z,3.0,2640.0,7920.0,0.02575506461818032,61.81215508363277,20.0,12.0,1.1363636363636365,0.0,0.0
20,r,Restaurant,retail,119,Coffee powder,0,exchange_with_freight,retail_average_price_exchange_with_freight,203.98011177598815,2142.6977466232593,47.922098239115435,42.171446450421584,44.712102043860966,44.712102043860966,37.0,0.0,138.0,138.0,0.0,27.6,False,,,2026-07-21T16:37:43.454996Z,26.0,2640.0,68640.0,0.0029717382251746526,7.132171740419166,20.0,12.0,1.1363636363636365,0.0,0.0
21,T,Fashion factory,production,65,Sneakers,0,exchange_with_freight,production_exchange_with_freight,198.58627241282713,2779.215054983455,196.93984233159406,173.30706125180276,14.7,14.111999999999998,11.9,0.388,133.85999999999999,138.0,3.0,26.772,False,,,2026-07-21T17:06:21.692374Z,4.0,2640.0,10560.0,0.01880551822091166,45.133243730187985,20.0,12.0,1.1363636363636365,4.0,0.0
22,Q,Quarry,production,44,Sand,0,exchange_with_freight,production_exchange_with_freight,185.21778212735973,2013.023134060334,1612.9993061380883,1419.4393894015175,1.3,1.248,0.546,0.388,267.71999999999997,276.0,3.0,53.544,False,,,2026-07-21T17:46:34.365456Z,7.0,2640.0,18480.0,0.010022607257974011,24.054257419137627,20.0,12.0,1.1363636363636365,4.0,0.0
23,H,Fashion store,retail,61,Gloves,0,exchange_with_freight,retail_average_price_exchange_with_freight,174.03562291380072,857.9546901986114,16.130521620974644,14.194859026457687,53.1882793599809,53.1882793599809,19.3,0.0,310.5,310.5,0.0,62.1,False,,,2026-07-21T16:27:07.001784Z,5.0,2640.0,13200.0,0.013184516887409146,31.642840529781953,20.0,12.0,1.1363636363636365,0.0,0.0
24,W,Water reservoir,production,2,Water,0,exchange_with_freight,production_exchange_with_freight,159.31607142857155,661.8085714285716,1848.214285714286,1626.4285714285716,0.373,0.35808,0.05460000000000001,0.0,334.65,345.0,3.0,66.93,False,,,2026-07-21T17:49:58.571452Z,6.0,2640.0,15840.0,0.0100578327922078,24.138798701298718,20.0,12.0,1.1363636363636365,4.0,0.0
25,d,Hardware store,retail,102,Bricks,0,exchange_with_freight,retail_average_price_exchange_with_freight,144.19485490232552,538.3907194696508,69.33180169160194,61.0119854886097,7.765422307420944,7.765422307420944,2.7,0.0,172.5,172.5,0.0,34.5,False,,,2026-07-21T17:49:59.040885Z,4.0,2640.0,10560.0,0.013654815805144462,32.77155793234671,20.0,12.0,1.1363636363636365,0.0,0.0
26,C,Electronics store,retail,24,Smart phones,0,exchange_with_freight,retail_average_price_exchange_with_freight,143.71971247706983,1114.2041122030687,1.2724739995433314,1.1197771195981314,875.6203369207834,875.6203369207834,600.0,0.0,172.5,172.5,0.0,34.5,False,,,2026-07-21T17:28:05.063689Z,5.0,2640.0,13200.0,0.010887857005838624,26.1308568140127,20.0,12.0,1.1363636363636365,0.0,0.0
27,i,Mill,production,119,Coffee powder,0,exchange_with_freight,production_exchange_with_freight,122.41805398162795,713.5824740911412,20.08959668049384,17.678845078834577,37.0,35.519999999999996,7.05,0.388,368.11500000000007,379.50000000000006,3.0,73.623,False,,,2026-07-21T16:37:43.454996Z,8.0,2640.0,21120.0,0.005796309374130111,13.911142497912266,20.0,12.0,1.1363636363636365,4.0,0.0
28,A,Gas station,retail,11,Petrol,0,exchange_with_freight,retail_average_price_exchange_with_freight,120.67153747518114,2705.1783713986574,53.26397138462519,46.872294818470166,50.78814630370419,50.78814630370419,40.75,0.0,345.0,345.0,0.0,69.0,False,,,2026-07-21T17:42:20.801757Z,7.0,2640.0,18480.0,0.006529845101470841,15.671628243530018,20.0,12.0,1.1363636363636365,0.0,0.0
29,P,Farm,production,40,Cotton,0,exchange_with_freight,production_exchange_with_freight,109.38852518822104,482.7818850422002,294.0922788999758,258.80120543197864,1.71,1.6416,0.6659999999999999,0.194,100.395,103.5,3.0,20.078999999999997,False,,,2026-07-21T17:11:37.113897Z,2.0,2640.0,5280.0,0.02071752370989035,49.72205690373684,20.0,12.0,1.1363636363636365,4.0,0.0
30,2,Car dealership,retail,56,Luxury car,0,exchange_with_freight,retail_average_price_exchange_with_freight,96.89759730001268,1885.7378111305927,0.31082522466913287,0.2735261977088369,6066.875084343371,6066.875084343371,4290.0,0.0,379.50000000000006,379.50000000000006,0.0,75.9,False,,,2026-07-21T17:37:19.724901Z,6.0,2640.0,15840.0,0.006117272556818982,14.681454136365558,20.0,12.0,1.1363636363636365,0.0,0.0
31,c,Chemistry laboratory,research,113,Materials research,0,exchange_with_freight,research_exchange_with_freight,59.52692886461689,556.3269288646169,3.889310185015499,3.422592962813639,149.0,143.04,0.0,0.0,414.0,414.0,0.0,82.8,False,,,2026-07-21T17:46:45.969302Z,28.0,2640.0,73920.0,0.0008052885398351853,1.9326924956044447,20.0,12.0,1.1363636363636365,4.0,0.0
32,6,Beverage factory,production,125,Apple cider,0,exchange_with_freight,production_exchange_with_freight,25.20221418554255,1086.9537280376817,41.550218961685076,36.564192686282865,27.25,26.16,18.4,0.388,234.25499999999997,241.49999999999997,3.0,46.85099999999999,False,,,2026-07-21T17:38:21.145303Z,4.0,2640.0,10560.0,0.002386573313024863,5.727775951259671,20.0,12.0,1.1363636363636365,4.0,0.0
33,b,Breeding laboratory,research,33,Breeding research,0,exchange_with_freight,research_exchange_with_freight,15.655509977642012,512.455509977642,4.375473958142436,3.8504170831653437,122.0,117.11999999999999,0.0,0.0,414.0,414.0,0.0,82.8,False,,,2026-07-21T17:19:10.022256Z,28.0,2640.0,73920.0,0.00021178990770619606,0.5082957784948706,20.0,12.0,1.1363636363636365,4.0,0.0
34,q,Kitchen,research,145,Recipes,0,exchange_with_freight,research_exchange_with_freight,-35.56060775829383,585.4393922417062,4.325054611714733,3.8060480583089644,141.0,135.35999999999999,0.0,0.0,517.5,517.5,0.0,103.5,False,,,2026-07-21T17:47:53.188847Z,24.0,2640.0,63360.0,-0.0005612469658821627,-1.3469927181171906,20.0,12.0,1.1363636363636365,4.0,0.0
35,f,Fashion & Design,research,59,Fashion research,0,exchange_with_freight,research_exchange_with_freight,-42.92129376368588,495.2787062363141,7.70022864173374,6.776201204725691,67.0,64.32,0.0,0.0,448.5,448.5,0.0,89.7,False,,,2026-07-21T17:49:58.71943Z,21.0,2640.0,55440.0,-0.0007741936104560946,-1.8580646650946269,20.0,12.0,1.1363636363636365,4.0,0.0
36,a,Automotive R&D,research,58,Automotive research,0,exchange_with_freight,research_exchange_with_freight,-45.209305095466476,617.1906949045335,4.762273880436216,4.19080101478387,135.0,129.6,0.0,0.0,552.0,552.0,0.0,110.4,False,,,2026-07-21T17:07:17.749597Z,40.0,2640.0,105600.0,-0.00042811841946464467,-1.027484206715147,20.0,12.0,1.1363636363636365,4.0,0.0
37,h,Physics laboratory,research,31,Mining research,0,exchange_with_freight,research_exchange_with_freight,-94.36513125226706,609.4348687477329,3.4130537004241317,3.0034872563732358,186.0,178.56,0.0,0.0,586.5,586.5,0.0,117.3,False,,,2026-07-21T17:36:05.671011Z,48.0,2640.0,126720.0,-0.0007446743312205418,-1.7872183949293006,20.0,12.0,1.1363636363636365,4.0,0.0
38,s,Software R&D,research,35,Software,0,exchange_with_freight,research_exchange_with_freight,-109.27334981571975,594.5266501842802,6.48480203080585,5.7066257871091475,95.5,91.67999999999999,0.0,0.0,586.5,586.5,0.0,117.3,False,,,2026-07-21T17:40:57.732116Z,19.0,2640.0,50160.0,-0.0021784958097232805,-5.228389943335873,20.0,12.0,1.1363636363636365,4.0,0.0
39,p,Plant research center,research,29,Plant research,0,exchange_with_freight,research_exchange_with_freight,-110.84274583928938,427.3572541607106,3.8048188582684355,3.348240595276223,117.0,112.32,0.0,0.0,448.5,448.5,0.0,89.7,False,,,2026-07-21T17:49:31.219852Z,30.0,2640.0,79200.0,-0.0013995296191829467,-3.3588710860390725,20.0,12.0,1.1363636363636365,4.0,0.0
40,7,Aerospace factory,production,77,Fuselage,0,exchange_with_freight,production_exchange_with_freight,-232.07280692632588,9839.42425187872,3.754359070466545,3.3038359820105594,2730.0,2620.7999999999997,2500.0,0.776,568.905,586.5,3.0,113.78099999999999,False,,,2026-07-21T16:59:34.828368Z,31.0,2640.0,81840.0,-0.002835689234192643,-6.805654162062343,20.0,12.0,1.1363636363636365,4.0,0.0
